testcase_id,module_name,coverage,runtime_seconds,pass_fail,pass_rate,final_score,priority_rank,action
4bit_Subtractor_test_7,4bit_Subtractor,46.09,155000,PASS,1.0,0.78436,P0,run_first
4bit_Subtractor_test_8,4bit_Subtractor,47.75,175000,PASS,1.0,0.6839654206080195,P1,run_early
4bit_Subtractor_test_4,4bit_Subtractor,28.61,95000,PASS,1.0,0.6473303462853023,P1,run_early
4bit_Subtractor_test_9,4bit_Subtractor,50.98,195000,PASS,1.0,0.645352081023282,P1,run_early
4bit_Subtractor_test_3,4bit_Subtractor,25.39,75000,PASS,1.0,0.6203606981346471,P1,run_early
4bit_Subtractor_test_5,4bit_Subtractor,31.84,115000,PASS,1.0,0.6112701112921191,P1,run_early
4bit_Subtractor_test_10,4bit_Subtractor,52.64,215000,PASS,1.0,0.5856752167138992,P1,run_early
4bit_Subtractor_test_2,4bit_Subtractor,22.17,55000,PASS,1.0,0.5831695027523085,P1,run_early
4bit_Subtractor_test_68,4bit_Subtractor,80.96,1375000,PASS,1.0,0.5780512598102279,P1,run_early
4bit_Subtractor_test_69,4bit_Subtractor,81.05,1395000,PASS,1.0,0.5774537183755231,P1,run_early
4bit_Subtractor_test_38,4bit_Subtractor,77.15,775000,PASS,1.0,0.5714330407040156,P1,run_early
4bit_Subtractor_test_39,4bit_Subtractor,77.25,795000,PASS,1.0,0.5682357161414047,P1,run_early
4bit_Subtractor_test_40,4bit_Subtractor,77.34,815000,PASS,1.0,0.5651339968367399,P1,run_early
4bit_Subtractor_test_37,4bit_Subtractor,75.49,755000,PASS,1.0,0.5616850249577588,P1,run_early
4bit_Subtractor_test_34,4bit_Subtractor,73.63,695000,PASS,1.0,0.555048578587481,P1,run_early
4bit_Subtractor_test_35,4bit_Subtractor,73.73,715000,PASS,1.0,0.5515248865341117,P1,run_early
4bit_Subtractor_test_31,4bit_Subtractor,71.78,635000,PASS,1.0,0.5486828220556076,P1,run_early
4bit_Subtractor_test_32,4bit_Subtractor,71.88,655000,PASS,1.0,0.544755390110264,P1,run_early
4bit_Subtractor_test_6,4bit_Subtractor,33.5,135000,PASS,1.0,0.5446293393919082,P1,run_early
4bit_Subtractor_test_28,4bit_Subtractor,69.92,575000,PASS,1.0,0.5398809895879974,P1,run_early
4bit_Subtractor_test_24,4bit_Subtractor,68.07,495000,PASS,1.0,0.5397426141631891,P1,run_early
4bit_Subtractor_test_20,4bit_Subtractor,64.55,415000,PASS,1.0,0.53843808421949,P1,run_early
4bit_Subtractor_test_29,4bit_Subtractor,70.02,595000,PASS,1.0,0.5379047790397491,P1,run_early
4bit_Subtractor_test_11,4bit_Subtractor,54.3,235000,PASS,1.0,0.5372862812745008,P1,run_early
4bit_Subtractor_test_22,4bit_Subtractor,66.31,455000,PASS,1.0,0.5370984560883443,P1,run_early
4bit_Subtractor_test_25,4bit_Subtractor,68.16,515000,PASS,1.0,0.5343048726918969,P1,run_early
4bit_Subtractor_test_19,4bit_Subtractor,62.89,395000,PASS,1.0,0.5300339210379534,P1,run_early
4bit_Subtractor_test_21,4bit_Subtractor,64.65,435000,PASS,1.0,0.5284712450624087,P1,run_early
4bit_Subtractor_test_23,4bit_Subtractor,66.41,475000,PASS,1.0,0.5283574377798637,P1,run_early
4bit_Subtractor_test_14,4bit_Subtractor,57.71,295000,PASS,1.0,0.5189094980799251,P1,run_early
4bit_Subtractor_test_1,4bit_Subtractor,18.95,35000,PASS,1.0,0.5182942041028469,P1,run_early
4bit_Subtractor_test_18,4bit_Subtractor,61.23,375000,PASS,1.0,0.5179706357940186,P1,run_early
4bit_Subtractor_test_16,4bit_Subtractor,59.47,335000,PASS,1.0,0.5175683274338068,P1,run_early
4bit_Subtractor_test_13,4bit_Subtractor,56.05,275000,PASS,1.0,0.5102747359369518,P1,run_early
4bit_Subtractor_test_12,4bit_Subtractor,54.39,255000,PASS,1.0,0.5064641158952229,P1,run_early
4bit_Subtractor_test_17,4bit_Subtractor,59.57,355000,PASS,1.0,0.5052962778777326,P1,run_early
4bit_Subtractor_test_15,4bit_Subtractor,57.81,315000,PASS,1.0,0.504522656016059,P1,run_early
